@RELATION testDog
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Dog}

@DATA
0.155839,0.018495,2.997298,0.284600,0.227396,1.817664,0.007548,0.342182,-28.941287,1.148268,-1.223123,0.131594,-0.275693,-0.117204,0.251860,0.475783,0.251634,-0.034315,-0.153497,0.023849,0.086240,0.009108,0.015398,0.032925,0.012453,0.043821,0.004290,0.014779,0.002306,0.004150,0.006003,0.007814,0.005032,0.018916,0.027294,0.032342,0.409076,0.068866,0.057380,0.367512,0.004913,0.155079,4.443166,0.448227,0.995435,0.339239,0.516737,0.200829,0.217313,0.179918,0.206780,0.198978,0.273548,0.221796,0.182360,0.008563,0.020267,0.028917,0.010023,0.040136,0.002773,0.011298,0.001514,0.003266,0.004314,0.005622,0.004916,0.008698,Dog
0.085327,0.013358,2.908326,0.220157,0.196341,1.020722,0.095507,0.164545,-31.488323,1.280918,-1.002994,-0.123670,-0.381214,-0.063683,0.035634,0.205876,-0.018525,-0.092232,-0.111322,0.090893,0.068725,0.010943,0.015041,0.016469,0.008759,0.014795,0.063405,0.020941,0.001654,0.006556,0.005525,0.007718,0.008330,0.026183,0.037097,0.021330,0.365474,0.081002,0.078671,0.456677,0.129924,0.101067,5.279813,0.675021,0.964462,0.368765,0.435354,0.348358,0.267757,0.260950,0.248683,0.229725,0.219593,0.251981,0.173236,0.011292,0.022535,0.013336,0.009325,0.017191,0.039369,0.027001,0.001751,0.012662,0.005576,0.008519,0.011314,0.011443,Dog
0.036111,0.003018,3.044238,0.081912,0.059050,0.528682,0.109976,0.090081,-44.419437,0.036539,-0.538274,-0.084003,-0.037881,0.104674,0.046421,0.018290,-0.082861,0.027040,0.040442,-0.010690,-0.038246,0.001519,0.000897,0.001552,0.001662,0.002424,0.148435,0.004933,0.006621,0.002956,0.001295,0.002036,0.001605,0.042848,0.065981,0.008458,0.549425,0.129097,0.097298,0.813634,0.305123,0.156645,10.179640,0.260376,0.962227,0.186579,0.147244,0.226984,0.131107,0.078243,0.191578,0.096296,0.101600,0.119330,0.096409,0.002794,0.001807,0.003417,0.003799,0.004837,0.083031,0.010682,0.015989,0.005888,0.002688,0.004303,0.003198,0.020007,Dog
0.054061,0.003554,2.775318,0.151228,0.128598,0.851312,0.177482,0.144788,-38.717937,0.864247,-0.675116,0.039752,-0.287421,-0.261670,-0.051179,0.096636,0.080705,0.038457,-0.032797,-0.083800,-0.022725,0.015296,0.012959,0.008381,0.004353,0.003622,0.095528,0.005842,0.003279,0.003112,0.009136,0.011023,0.010669,0.033222,0.054617,0.008046,0.583358,0.130847,0.113884,0.744503,0.355692,0.139643,10.437343,0.925819,0.840958,0.364210,0.342130,0.270485,0.271800,0.302489,0.322358,0.113700,0.243401,0.191780,0.201429,0.021156,0.020397,0.012824,0.006072,0.004699,0.092508,0.008189,0.004855,0.005374,0.014011,0.016888,0.016635,0.019736,Dog
0.046970,0.003859,2.992441,0.140387,0.109287,0.625870,0.144430,0.124545,-41.206008,0.075042,-0.710999,-0.157782,-0.009688,0.236727,0.046563,-0.082419,-0.103317,0.076805,0.010405,0.043392,-0.078265,0.001210,0.001783,0.002359,0.001785,0.003197,0.128164,0.007974,0.006998,0.010332,0.002912,0.001895,0.001391,0.038741,0.047730,0.007291,0.366814,0.091224,0.073854,0.494446,0.300384,0.106791,6.853417,0.402024,0.683711,0.248332,0.153634,0.248823,0.175788,0.157111,0.159829,0.172043,0.104873,0.144222,0.149575,0.001345,0.002276,0.002780,0.002722,0.005194,0.057418,0.010592,0.008579,0.017816,0.003727,0.001960,0.001686,0.012957,Dog
0.186523,0.008180,3.036238,0.294165,0.242935,1.788646,0.057284,0.344909,-30.545758,0.979084,-0.914100,-0.618184,-0.398676,-0.235019,-0.233211,0.289154,0.208649,0.152052,-0.194898,0.163382,0.115215,0.018346,0.028253,0.010974,0.004765,0.007707,0.026265,0.015811,0.002519,0.005318,0.009630,0.016664,0.008464,0.016349,0.075116,0.014726,0.340010,0.077773,0.048205,0.628735,0.137019,0.211817,4.835898,0.614903,0.504764,0.333930,0.254389,0.260608,0.257572,0.255088,0.235988,0.188717,0.184355,0.167146,0.160632,0.012730,0.027531,0.014475,0.004822,0.007810,0.039184,0.023227,0.001563,0.003799,0.005293,0.012854,0.007327,0.010113,Dog
0.060215,0.031949,3.038578,0.095913,0.120775,0.100106,0.006872,0.079725,-24.491956,-0.184953,-1.210660,1.730929,-0.123533,0.746358,-0.223406,-0.050300,0.492153,-0.231565,-0.522975,0.242651,-0.176599,0.011104,0.007035,0.010756,0.000986,0.002442,0.000861,0.005303,0.001628,0.001193,0.022682,0.005517,0.006977,0.009137,0.006062,0.027569,0.313785,0.008698,0.020095,0.019473,0.003317,0.002846,1.362684,0.626774,0.318809,0.299666,0.258465,0.328189,0.230651,0.318712,0.209499,0.175740,0.097357,0.213493,0.111296,0.011991,0.005447,0.014664,0.001118,0.002238,0.000905,0.005623,0.001696,0.000647,0.017665,0.004599,0.006544,0.004026,Dog
0.048378,0.036889,3.035060,0.107886,0.147588,0.132542,0.004709,0.068852,-24.124194,0.219887,-1.519943,1.397813,0.571593,0.627565,-0.360289,0.183349,0.332417,-0.277353,-0.391611,0.071942,-0.124363,0.012674,0.009605,0.018227,0.003073,0.002502,0.001837,0.006124,0.001324,0.004834,0.017454,0.012774,0.011517,0.009397,0.007527,0.034970,0.372137,0.018161,0.037924,0.037199,0.002494,0.011109,1.674922,0.661652,0.539313,0.581214,0.244310,0.167888,0.205153,0.226755,0.146032,0.154984,0.183692,0.189586,0.115413,0.006428,0.005093,0.013892,0.001332,0.001742,0.001607,0.008205,0.000677,0.005563,0.009982,0.011905,0.015463,0.002841,Dog
0.058031,0.028753,3.081306,0.104980,0.136323,0.114039,0.005715,0.072996,-25.707612,0.168068,-1.060515,2.041608,0.028182,0.409030,0.176263,-0.249836,0.209677,-0.069002,-0.457658,0.034392,-0.165840,0.004701,0.003563,0.005504,0.003446,0.003856,0.002458,0.009537,0.004673,0.007742,0.038735,0.015741,0.003824,0.012975,0.007545,0.028996,0.208957,0.013538,0.026045,0.048075,0.001253,0.003450,1.549971,0.632700,0.402901,0.323293,0.235112,0.166610,0.229815,0.179562,0.181125,0.192196,0.162560,0.090719,0.087603,0.003571,0.004141,0.006508,0.002609,0.004039,0.002405,0.010775,0.004075,0.005656,0.022545,0.007091,0.002853,0.006359,Dog
